bairro,desc,tipo,imagem,area total,area util,valor
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1264701930/19212801930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",2000.0
Iririu,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/257801930/12371601930.jpg,"575,55 M² TOTAL","575,55 M² ÚTIL",2000.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1495601930/27001801930.jpg,"256,67 M² TOTAL","159,84 M² ÚTIL",2000.0
Anita Garibaldi,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1470401930/26049101930.jpg,"146,8 M² TOTAL","70,6 M² ÚTIL",2000.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1266001930/19315201930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",2000.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1344601930/24582401930.jpg,112 M² TOTAL,100 M² ÚTIL,2000.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1264701930/19212801930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",2000.0
Boa Vista,Galpão,Galpão,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1412001930/24042301930.jpg,"255,6 M² TOTAL",180 M² ÚTIL,2000.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1439201930/24907501930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",1920.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1075901930/26307801930.jpg,"79,97 M² TOTAL",38 M² ÚTIL,1900.0
Guanabara,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1144801930/15718101930.jpg,65 M² TOTAL,65 M² ÚTIL,1900.0
Bom Retiro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1344801930/26304201930.jpg,95 M² TOTAL,"50,65 M² ÚTIL",1900.0
Iririu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1328301930/26988001930.jpg,47 M² TOTAL,47 M² ÚTIL,1900.0
Bom Retiro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1058001930/13561801930.jpg,"124,79 M² TOTAL","127,79 M² ÚTIL",1900.0
Bucarein,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1463501930/25828901930.jpg,"60,92 M² TOTAL","51,6 M² ÚTIL",1900.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1467201930/25936201930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",1860.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1467301930/25938901930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",1860.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446201930/25163601930.jpg,"60,37 M² TOTAL","47,66 M² ÚTIL",1860.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1446401930/25172201930.jpg,"60,38 M² TOTAL","47,66 M² ÚTIL",1860.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1481701930/26403101930.jpg,"104,86 M² TOTAL","77,8 M² ÚTIL",1850.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1481801930/26412001930.jpg,"104,86 M² TOTAL","77,8 M² ÚTIL",1850.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1481501930/26373801930.jpg,"104,86 M² TOTAL","77,8 M² ÚTIL",1850.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1481601930/26377201930.jpg,"104,86 M² TOTAL","77,8 M² ÚTIL",1850.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1381101930/26825501930.jpg,"112,46 M² TOTAL","70,38 M² ÚTIL",1850.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/431601930/26838001930.jpg,"117,97 M² TOTAL","82,57 M² ÚTIL",1850.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/431601930/26838001930.jpg,"117,97 M² TOTAL","82,57 M² ÚTIL",1850.0
Saguacu,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1440401930/24980301930.jpg,"178,63 M² TOTAL","137,04 M² ÚTIL",1850.0
Costa e Silva,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1459801930/25656501930.jpg,"108,47 M² TOTAL","72,62 M² ÚTIL",1850.0
Guanabara,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/290101930/17426701930.jpg,"77,95 M² TOTAL","77,95 M² ÚTIL",1800.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/652001930/25487701930.jpg,"76,26 M² TOTAL","39,19 M² ÚTIL",1800.0
